"subject_id" "run" "group" "flanker_congruency" "mean_rt"
"18" "2_in" "0T" "cong" 522.514285714286
"18" "2_in" "0T" "incong" 630.068965517241
"18" "3_in_noise" "0T" "cong" 525.111111111111
"18" "3_in_noise" "0T" "incong" 596.235294117647
"18" "4_out" "0T" "cong" 459.135135135135
"18" "4_out" "0T" "incong" 554.088235294118
"19" "1_out" "0T" "cong" 478.27027027027
"19" "1_out" "0T" "incong" 576.333333333333
"19" "2_in" "0T" "cong" 541.540540540541
"19" "2_in" "0T" "incong" 615.742857142857
"19" "3_in_noise" "0T" "cong" 498.216216216216
"19" "3_in_noise" "0T" "incong" 618.628571428571
"19" "4_out" "0T" "cong" 416.27027027027
"19" "4_out" "0T" "incong" 498.771428571429
"20" "1_out" "0T" "cong" 406.486486486487
"20" "1_out" "0T" "incong" 547.71875
"20" "2_in" "0T" "cong" 438.513513513513
"20" "2_in" "0T" "incong" 544.032258064516
"20" "3_in_noise" "0T" "cong" 434.344827586207
"20" "3_in_noise" "0T" "incong" 550.96
"20" "4_out" "0T" "cong" 399.324324324324
"20" "4_out" "0T" "incong" 524.588235294118
"21" "1_out" "0T" "cong" 497.702702702703
"21" "1_out" "0T" "incong" 589.371428571429
"21" "2_in" "0T" "cong" 546.514285714286
"21" "2_in" "0T" "incong" 613.366666666667
"21" "3_in_noise" "0T" "cong" 530.59375
"21" "3_in_noise" "0T" "incong" 645.8
"21" "4_out" "0T" "cong" 490.378378378378
"21" "4_out" "0T" "incong" 568.515151515152
"22" "1_out" "11.7T" "cong" 394.891891891892
"22" "1_out" "11.7T" "incong" 503.314285714286
"22" "2_in" "11.7T" "cong" 487.756756756757
"22" "2_in" "11.7T" "incong" 602.705882352941
"22" "3_in_noise" "11.7T" "cong" 472.594594594595
"22" "3_in_noise" "11.7T" "incong" 610
"22" "4_out" "11.7T" "cong" 429.891891891892
"22" "4_out" "11.7T" "incong" 571.6
"23" "1_out" "11.7T" "cong" 502
"23" "1_out" "11.7T" "incong" 603.882352941176
"23" "2_in" "11.7T" "cong" 538.081081081081
"23" "2_in" "11.7T" "incong" 656.736842105263
"23" "3_in_noise" "11.7T" "cong" 510.166666666667
"23" "3_in_noise" "11.7T" "incong" 613.416666666667
"23" "4_out" "11.7T" "cong" 475.405405405405
"23" "4_out" "11.7T" "incong" 559.514285714286
"24" "1_out" "11.7T" "cong" 701.638888888889
"24" "1_out" "11.7T" "incong" 981.666666666667
"24" "2_in" "11.7T" "cong" 591.583333333333
"24" "2_in" "11.7T" "incong" 872.727272727273
"24" "3_in_noise" "11.7T" "cong" 588.243243243243
"24" "3_in_noise" "11.7T" "incong" 886.516129032258
"24" "4_out" "11.7T" "cong" 581.648648648649
"24" "4_out" "11.7T" "incong" 769.714285714286
"25" "1_out" "11.7T" "cong" 518.216216216216
"25" "1_out" "11.7T" "incong" 697.028571428571
"25" "2_in" "11.7T" "cong" 515.756756756757
"25" "2_in" "11.7T" "incong" 637
"25" "3_in_noise" "11.7T" "cong" 498.621621621622
"25" "3_in_noise" "11.7T" "incong" 674.787878787879
"25" "4_out" "11.7T" "cong" 450.972972972973
"25" "4_out" "11.7T" "incong" 614.6
"26" "1_out" "11.7T" "cong" 512.783783783784
"26" "1_out" "11.7T" "incong" 579.617647058824
"26" "2_in" "11.7T" "cong" 530.235294117647
"26" "2_in" "11.7T" "incong" 596.666666666667
"26" "3_in_noise" "11.7T" "cong" 502.702702702703
"26" "3_in_noise" "11.7T" "incong" 620.911764705882
"26" "4_out" "11.7T" "cong" 527.864864864865
"26" "4_out" "11.7T" "incong" 592.714285714286
"27" "1_out" "11.7T" "cong" 514.111111111111
"27" "1_out" "11.7T" "incong" 571.742857142857
"27" "2_in" "11.7T" "cong" 517.805555555556
"27" "2_in" "11.7T" "incong" 625.171428571429
"27" "3_in_noise" "11.7T" "cong" 482.432432432432
"27" "3_in_noise" "11.7T" "incong" 612.457142857143
"27" "4_out" "11.7T" "cong" 452.405405405405
"27" "4_out" "11.7T" "incong" 550.514285714286
"28" "1_out" "11.7T" "cong" 406.027027027027
"28" "1_out" "11.7T" "incong" 569.48275862069
"28" "2_in" "11.7T" "cong" 469.72972972973
"28" "2_in" "11.7T" "incong" 647.147058823529
"28" "3_in_noise" "11.7T" "cong" 478.297297297297
"28" "3_in_noise" "11.7T" "incong" 639.969696969697
"28" "4_out" "11.7T" "cong" 431.540540540541
"28" "4_out" "11.7T" "incong" 569.828571428571
"29" "1_out" "11.7T" "cong" 337.297297297297
"29" "1_out" "11.7T" "incong" 438.875
"29" "2_in" "11.7T" "cong" 419.243243243243
"29" "2_in" "11.7T" "incong" 498.166666666667
"29" "3_in_noise" "11.7T" "cong" 415.351351351351
"29" "3_in_noise" "11.7T" "incong" 534.966666666667
"29" "4_out" "11.7T" "cong" 378.891891891892
"29" "4_out" "11.7T" "incong" 483.5
"30" "1_out" "11.7T" "cong" 567.342857142857
"30" "1_out" "11.7T" "incong" 682.484848484848
"30" "2_in" "11.7T" "cong" 557.571428571429
"30" "2_in" "11.7T" "incong" 677.382352941176
"30" "3_in_noise" "11.7T" "cong" 543.382352941176
"30" "3_in_noise" "11.7T" "incong" 703.941176470588
"30" "4_out" "11.7T" "cong" 494.540540540541
"30" "4_out" "11.7T" "incong" 625.228571428571
"31" "1_out" "11.7T" "cong" 396.243243243243
"31" "1_out" "11.7T" "incong" 515.233333333333
"31" "2_in" "11.7T" "cong" 417.702702702703
"31" "2_in" "11.7T" "incong" 541.620689655172
"31" "3_in_noise" "11.7T" "cong" 423.243243243243
"31" "3_in_noise" "11.7T" "incong" 526.451612903226
"31" "4_out" "11.7T" "cong" 411.972222222222
"31" "4_out" "11.7T" "incong" 505.03125
"32" "1_out" "11.7T" "cong" 381.972972972973
"32" "1_out" "11.7T" "incong" 473.909090909091
"32" "2_in" "11.7T" "cong" 403.916666666667
"32" "2_in" "11.7T" "incong" 483.620689655172
"32" "3_in_noise" "11.7T" "cong" 371.891891891892
"32" "3_in_noise" "11.7T" "incong" 464.206896551724
"32" "4_out" "11.7T" "cong" 346.702702702703
"32" "4_out" "11.7T" "incong" 436.066666666667
"33" "1_out" "11.7T" "cong" 410.108108108108
"33" "1_out" "11.7T" "incong" 529.7
"33" "2_in" "11.7T" "cong" 519.766666666667
"33" "2_in" "11.7T" "incong" 589.230769230769
"33" "3_in_noise" "11.7T" "cong" 506.576923076923
"33" "3_in_noise" "11.7T" "incong" 530.5
"33" "4_out" "11.7T" "cong" 395.277777777778
"33" "4_out" "11.7T" "incong" 514.285714285714
"34" "1_out" "11.7T" "cong" 368.891891891892
"34" "1_out" "11.7T" "incong" 513.379310344828
"34" "2_in" "11.7T" "cong" 444.027027027027
"34" "2_in" "11.7T" "incong" 597.416666666667
"34" "3_in_noise" "11.7T" "cong" 421.685714285714
"34" "3_in_noise" "11.7T" "incong" 610.458333333333
"34" "4_out" "11.7T" "cong" 368.891891891892
"34" "4_out" "11.7T" "incong" 502.074074074074
"35" "1_out" "11.7T" "cong" 462.918918918919
"35" "1_out" "11.7T" "incong" 572.4375
"35" "2_in" "11.7T" "cong" 499.972222222222
"35" "2_in" "11.7T" "incong" 593.733333333333
"35" "3_in_noise" "11.7T" "cong" 484.135135135135
"35" "3_in_noise" "11.7T" "incong" 592.96875
"35" "4_out" "11.7T" "cong" 452.459459459459
"35" "4_out" "11.7T" "incong" 545.34375
"36" "1_out" "11.7T" "cong" 446.756756756757
"36" "1_out" "11.7T" "incong" 589.939393939394
"36" "2_in" "11.7T" "cong" 472.228571428571
"36" "2_in" "11.7T" "incong" 616
"36" "3_in_noise" "11.7T" "cong" 471.818181818182
"36" "3_in_noise" "11.7T" "incong" 632.84375
"36" "4_out" "11.7T" "cong" 443.027027027027
"36" "4_out" "11.7T" "incong" 569.382352941176
"37" "1_out" "11.7T" "cong" 481.243243243243
"37" "1_out" "11.7T" "incong" 554.096774193548
"37" "2_in" "11.7T" "cong" 514.108108108108
"37" "2_in" "11.7T" "incong" 626.121212121212
"37" "3_in_noise" "11.7T" "cong" 463.942857142857
"37" "3_in_noise" "11.7T" "incong" 592.827586206897
"37" "4_out" "11.7T" "cong" 489
"37" "4_out" "11.7T" "incong" 626.4
"38" "1_out" "11.7T" "cong" 455.621621621622
"38" "1_out" "11.7T" "incong" 590.939393939394
"38" "2_in" "11.7T" "cong" 476.135135135135
"38" "2_in" "11.7T" "incong" 574.84375
"38" "3_in_noise" "11.7T" "cong" 493.486486486487
"38" "3_in_noise" "11.7T" "incong" 707.366666666667
"38" "4_out" "11.7T" "cong" 411.75
"38" "4_out" "11.7T" "incong" 548.30303030303
"41" "1_out" "11.7T" "cong" 500.756756756757
"41" "1_out" "11.7T" "incong" 694.484848484848
"41" "2_in" "11.7T" "cong" 508.675675675676
"41" "2_in" "11.7T" "incong" 733.088235294118
"41" "3_in_noise" "11.7T" "cong" 561.264705882353
"41" "3_in_noise" "11.7T" "incong" 734.25
"41" "4_out" "11.7T" "cong" 540.675675675676
"41" "4_out" "11.7T" "incong" 728.617647058824
"42" "1_out" "11.7T" "cong" 560.864864864865
"42" "1_out" "11.7T" "incong" 685.470588235294
"42" "2_in" "11.7T" "cong" 515.805555555556
"42" "2_in" "11.7T" "incong" 671.741935483871
"42" "3_in_noise" "11.7T" "cong" 471.472222222222
"42" "3_in_noise" "11.7T" "incong" 665.064516129032
"42" "4_out" "11.7T" "cong" 493.864864864865
"42" "4_out" "11.7T" "incong" 591.69696969697
